"","file.number","day","hms","file.directory"
"208","2568","2023-07-12","00:36:42","Distance experiment/FLIR2568.jpg"
"209","2569","2023-07-12","00:37:00","Distance experiment/FLIR2569.jpg"
"210","2570","2023-07-12","00:37:12","Distance experiment/FLIR2570.jpg"
"211","2571","2023-07-12","00:37:26","Distance experiment/FLIR2571.jpg"
"212","2572","2023-07-12","00:37:34","Distance experiment/FLIR2572.jpg"
"213","2573","2023-07-12","00:37:48","Distance experiment/FLIR2573.jpg"
"214","2574","2023-07-12","00:40:02","Distance experiment/FLIR2574.jpg"
"215","2575","2023-07-12","00:40:06","Distance experiment/FLIR2575.jpg"
"216","2576","2023-07-12","00:40:10","Distance experiment/FLIR2576.jpg"
"217","2577","2023-07-12","00:40:16","Distance experiment/FLIR2577.jpg"
"218","2578","2023-07-12","00:40:24","Distance experiment/FLIR2578.jpg"
"219","2579","2023-07-12","00:40:32","Distance experiment/FLIR2579.jpg"
"220","2580","2023-07-12","00:40:40","Distance experiment/FLIR2580.jpg"
"221","2581","2023-07-12","00:40:48","Distance experiment/FLIR2581.jpg"
"222","2582","2023-07-12","00:41:00","Distance experiment/FLIR2582.jpg"
"223","2583","2023-07-12","00:43:58","Distance experiment/FLIR2583.jpg"
"224","2584","2023-07-12","00:44:02","Distance experiment/FLIR2584.jpg"
"225","2585","2023-07-12","00:44:06","Distance experiment/FLIR2585.jpg"
"226","2586","2023-07-12","00:44:10","Distance experiment/FLIR2586.jpg"
"227","2587","2023-07-12","00:44:16","Distance experiment/FLIR2587.jpg"
"228","2588","2023-07-12","00:44:24","Distance experiment/FLIR2588.jpg"
"229","2589","2023-07-12","00:44:32","Distance experiment/FLIR2589.jpg"
"230","2590","2023-07-12","00:44:40","Distance experiment/FLIR2590.jpg"
"231","2591","2023-07-12","00:44:50","Distance experiment/FLIR2591.jpg"
"232","2592","2023-07-12","00:50:02","Distance experiment/FLIR2592.jpg"
"233","2593","2023-07-12","00:50:06","Distance experiment/FLIR2593.jpg"
"234","2594","2023-07-12","00:50:10","Distance experiment/FLIR2594.jpg"
"235","2595","2023-07-12","00:50:14","Distance experiment/FLIR2595.jpg"
"236","2596","2023-07-12","00:50:18","Distance experiment/FLIR2596.jpg"
"237","2597","2023-07-12","00:50:22","Distance experiment/FLIR2597.jpg"
"238","2598","2023-07-12","00:50:26","Distance experiment/FLIR2598.jpg"
"239","2599","2023-07-12","00:50:34","Distance experiment/FLIR2599.jpg"
"240","2600","2023-07-12","00:50:42","Distance experiment/FLIR2600.jpg"
"241","2601","2023-07-12","00:50:50","Distance experiment/FLIR2601.jpg"
"242","2602","2023-07-12","00:50:56","Distance experiment/FLIR2602.jpg"
"243","2603","2023-07-12","00:51:06","Distance experiment/FLIR2603.jpg"
"244","2604","2023-07-12","00:52:12","Distance experiment/FLIR2604.jpg"
"245","2605","2023-07-12","00:52:16","Distance experiment/FLIR2605.jpg"
"246","2606","2023-07-12","00:52:22","Distance experiment/FLIR2606.jpg"
"247","2607","2023-07-12","00:52:26","Distance experiment/FLIR2607.jpg"
"248","2608","2023-07-12","00:52:32","Distance experiment/FLIR2608.jpg"
"249","2609","2023-07-12","00:52:38","Distance experiment/FLIR2609.jpg"
"250","2610","2023-07-12","00:52:46","Distance experiment/FLIR2610.jpg"
"251","2611","2023-07-12","00:52:54","Distance experiment/FLIR2611.jpg"
"252","2612","2023-07-12","00:53:04","Distance experiment/FLIR2612.jpg"
"253","2613","2023-07-12","00:53:52","Distance experiment/FLIR2613.jpg"
"254","2614","2023-07-12","00:53:56","Distance experiment/FLIR2614.jpg"
"255","2615","2023-07-12","00:54:00","Distance experiment/FLIR2615.jpg"
"256","2616","2023-07-12","00:54:06","Distance experiment/FLIR2616.jpg"
