"","ID","Side","Body.Part","Photo","Time","Page","Meta","Shape","Temp","report.file","path","date.retrieved","temperature.in.c","Left.Side","Right.Side","Inner.Ear","Outer.Ear","Eye","Flank"
"40","G01","Left","Unknown - Please Specify","FLIR3787.jpg",2023-07-29 07:45:58,1,"G01 eyes and left flank","El2","32,1 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,32.1,1,0,0,0,1,1
"41","G02","Unknown - Please Specify","Eye","FLIR3785.jpg",2023-07-29 07:44:38,2,"G02 eyes","El1","31,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,31.4,0,0,0,0,1,0
"42","G02","Unknown - Please Specify","Eye","FLIR3785.jpg",2023-07-29 07:44:38,2,"G02 eyes","El2","31,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,31.9,0,0,0,0,1,0
"43","G10","Unknown - Please Specify","Eye","FLIR3769.jpg",2023-07-29 07:40:42,3,"G10 eyes","El1","30,6 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,30.6,0,0,0,0,1,0
"44","G10","Unknown - Please Specify","Eye","FLIR3769.jpg",2023-07-29 07:40:42,3,"G10 eyes","El2","30,8 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,30.8,0,0,0,0,1,0
"45","G15","Unknown - Please Specify","Eye","FLIR3797.jpg",2023-07-29 07:48:20,4,"G15 eyes","El1","31,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,31.9,0,0,0,0,1,0
"46","G15","Unknown - Please Specify","Eye","FLIR3797.jpg",2023-07-29 07:48:20,4,"G15 eyes","El2","30,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,30.4,0,0,0,0,1,0
"47","G18","Unknown - Please Specify","Eye","FLIR3778.jpg",2023-07-29 07:42:41,5,"G18 eyes","El1","32,4 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,32.4,0,0,0,0,1,0
"48","G18","Unknown - Please Specify","Eye","FLIR3778.jpg",2023-07-29 07:42:41,5,"G18 eyes","El2","32,8 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,32.8,0,0,0,0,1,0
"49","P03","Unknown - Please Specify","Eye","FLIR3792.jpg",2023-07-29 07:46:53,6,"P03 eyes","El1","32,0 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,32,0,0,0,0,1,0
